cluster_id,count,ratio,model_key
0,4118,0.11261519949681406,openclip_text
1,4597,0.1257144419832089,openclip_text
2,7469,0.20425520277846146,openclip_text
3,10212,0.27926819263270164,openclip_text
4,3935,0.10761068723165695,openclip_text
5,987,0.026991549757978506,openclip_text
6,5249,0.14354472611917848,openclip_text
