model_key,projection,silhouette_sentiment,silhouette_topic_proxy,delta_topic_minus_sentiment,n_rows
bertimbau,PCA,0.07372699677944183,-0.10214623808860779,-0.17587323486804962,36567
bertimbau,UMAP,0.053428079932928085,-0.24629496037960052,-0.2997230403125286,36567
bertimbau,tSNE,0.12043885141611099,-0.17430979013442993,-0.2947486415505409,36567
multilingual_minilm,PCA,0.12793485820293427,-0.15321125090122223,-0.2811461091041565,36567
multilingual_minilm,UMAP,-0.0016025417717173696,-0.17017243802547455,-0.16856989625375718,36567
multilingual_minilm,tSNE,0.06731641292572021,-0.13378725945949554,-0.20110367238521576,36567
openclip_text,PCA,0.0457342155277729,-0.07121364772319794,-0.11694786325097084,36567
openclip_text,UMAP,-0.06986390054225922,-0.1614791750907898,-0.09161527454853058,36567
openclip_text,tSNE,-0.013458142057061195,-0.11851987987756729,-0.1050617378205061,36567
