model_key,review_id,topic_proxy
bertimbau,b736ff4204044e49e39062584d06fa74,delivery
bertimbau,c7475b2c4448321756b6136327f1394e,other
bertimbau,44cdb9cb9c9f8d6bcea59e0b61b8df6a,product
bertimbau,65b934c20d632fc2df0fd4723464fa78,other
bertimbau,af9e54a155c1248534f1fa60179c6393,other
bertimbau,ea12cd666e65ef6cfc48e7ddd8596833,other
bertimbau,8023f946d9b261cb0ecb604703427917,delivery
bertimbau,4faa35770cc4dbf5f2725bcebdd1bdc6,other
bertimbau,c239d18d7e310e477d5e7b76b362db1d,product
bertimbau,b3df5ccdfff218d039dd166e3da759f5,delivery
bertimbau,c11da18223114c483b887b9914045f79,delivery
bertimbau,6f885e2fd69412264d9e74e805175d53,product
bertimbau,b83ba2a97932a8a661f5bf8eac7642bd,other
bertimbau,a6c58307ee35180cf0dc1d39466db359,other
bertimbau,f7eb8792e67d53e01a224bfa9b6802b2,delivery
bertimbau,4940d39efaa50e020312724f6a6e5efa,delivery
bertimbau,7bd303edd3865abe8addb98d2a2e6577,delivery
bertimbau,11caa17c5966423a2f73ded6a13ad638,delivery
bertimbau,4dd68a0dee5ede8a445f797c46bca436,other
bertimbau,f55ac350831de6694d569e9c0176dacd,product
bertimbau,3fb929ba2924ff0a47858efb007ceee1,delivery
bertimbau,58b27f28e98acdaec89d736d8ed79dd5,delivery
bertimbau,6280ca6a9e8c3a56b668ec8c5396caaf,other
bertimbau,968989a3b5192c9b9436fe7546acaca4,product
bertimbau,dc92cf357f5eb4d61b6a95fed53d17e1,delivery
bertimbau,382d855ffdd4f5e66594dbfb1566e96f,other
bertimbau,06aa3111724159bb69b8568181ec05c4,delivery
bertimbau,3db041dd46e9935752c691a2093799c2,product
bertimbau,9ad64902b6c9bfad48bbe4d17e4dcb4b,delivery
bertimbau,6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,other
bertimbau,8f9aa50ee40780ba3f79614530a34ebe,delivery
bertimbau,f3f77d01a24ce4da52b6f7e83e71498d,product
bertimbau,2fe0ca8fe19ae1ab68408a1235bbd054,other
bertimbau,b396ba75350276a6cc1993b6627dceea,product
bertimbau,610a49f3e897c9295111d0a8c0d6e65b,other
bertimbau,f3401a1de0c152923ba58cf7b7d2b84a,product
bertimbau,ef9ef383ff6625e8e118db388ad3420d,product
bertimbau,5d6f9cddc8335878d8bf20c3bd4602e8,delivery
