x,y,cluster,sentiment,topic_proxy,review_id,model_key,dataset_key
-66.092926,-64.29112,2,positive,product,59d95e0b5b52d038dc3a022b7c912969,bertimbau,olist
-52.729942,-13.3260565,4,positive,delivery,a0adf7a439816b22050d6bf433cbbff6,bertimbau,olist
21.894484,58.76283,1,negative,product,c40a6b6e0181e5ec0d12cbc2e12c49d3,bertimbau,olist
-35.823406,-12.00646,4,positive,delivery,5241fcad10d7b45a1761f1e1e1536faa,bertimbau,olist
39.77509,55.101246,1,negative,other,06f47dacd0575e592bf6a17e922ce6cd,bertimbau,olist
18.668139,-42.13987,6,positive,product,d36219dfadc3a5b07ab66670d23915ad,bertimbau,olist
25.845201,-26.558374,1,positive,other,5230dc021b8ce3fe53ed728af873a6d1,bertimbau,olist
31.570631,-26.461748,6,neutral,other,4656b8ed41c17f6be05e911e211ecd8f,bertimbau,olist
-10.36404,49.79969,0,positive,other,8ef0597f9b1870cf46c81358425f0e24,bertimbau,olist
45.557957,-31.40009,6,neutral,product,6b341682ab39af9fa00d72d7388c903b,bertimbau,olist
-105.07354,19.444359,3,neutral,delivery,e4f0765c572989acb3d2d17c911ccce4,bertimbau,olist
40.26673,12.99273,6,neutral,support,557ae9c16a8ea3909db2fc5a01bc5151,bertimbau,olist
-47.48307,-26.916653,4,positive,product,5939898b5d2ac05454b2fe1aeecaad19,bertimbau,olist
73.72131,23.868351,1,negative,product,cde97e23deec3aa11e838402378706ee,bertimbau,olist
65.880775,34.502357,1,negative,product,3ff8285931cc9b54c9ad22ba78957f63,bertimbau,olist
34.485622,4.7370195,1,neutral,delivery,fdb0e5a14fb6456e28ce7b3b054b8843,bertimbau,olist
-22.349596,53.389412,0,positive,other,deb6f26fd2c11c556bc9245fd9203469,bertimbau,olist
-44.142834,12.619312,3,positive,delivery,6591adaa3a855d13090d5fd151ad96c2,bertimbau,olist
4.2957444,16.819675,4,positive,product,c4a20a1d2d634f814cca9311edd60e99,bertimbau,olist
68.70681,-50.388298,6,positive,other,81e7291e2f92b492eb0340f4406c6897,bertimbau,olist
-117.59643,-18.479044,2,positive,product,eb6d75bedecae7b3dbea11b8530637d8,bertimbau,olist
43.324883,-6.136868,6,negative,delivery,a36150969fe6bd09ed011dd78aeb0189,bertimbau,olist
-68.5135,-71.27154,2,positive,product,2c303fb6b2f9c16f324f7deb88e736fe,bertimbau,olist
48.598866,31.623665,1,negative,product,43992f6d75ecc01ddd8c748b9362bc81,bertimbau,olist
11.119905,56.883526,0,negative,product,8b4c14417bccab81710772ecb8b23fd6,bertimbau,olist
-17.763943,-70.59105,2,positive,product,3528296df9092b7a7b88bd036e3f8a8e,bertimbau,olist
73.14607,60.800045,1,negative,product,252b934455d29ca8cc070504686ecc52,bertimbau,olist
3.737638,68.677895,3,negative,delivery,b736ff4204044e49e39062584d06fa74,bertimbau,olist
16.23167,-5.4221525,5,positive,other,c7475b2c4448321756b6136327f1394e,bertimbau,olist
-50.304756,9.97905,4,positive,product,44cdb9cb9c9f8d6bcea59e0b61b8df6a,bertimbau,olist
70.91483,-46.555763,6,neutral,other,65b934c20d632fc2df0fd4723464fa78,bertimbau,olist
-53.137093,-90.492905,5,positive,other,af9e54a155c1248534f1fa60179c6393,bertimbau,olist
-9.458595,-20.241373,6,positive,other,ea12cd666e65ef6cfc48e7ddd8596833,bertimbau,olist
-49.008175,94.778915,3,positive,delivery,8023f946d9b261cb0ecb604703427917,bertimbau,olist
17.23023,-84.808105,5,positive,other,4faa35770cc4dbf5f2725bcebdd1bdc6,bertimbau,olist
71.1254,-44.55368,6,negative,product,c239d18d7e310e477d5e7b76b362db1d,bertimbau,olist
30.508726,42.861633,1,negative,delivery,b3df5ccdfff218d039dd166e3da759f5,bertimbau,olist
8.9707,22.862213,1,negative,delivery,c11da18223114c483b887b9914045f79,bertimbau,olist
71.396416,-4.9519086,1,negative,product,6f885e2fd69412264d9e74e805175d53,bertimbau,olist
1.1789265,-33.436844,5,positive,other,b83ba2a97932a8a661f5bf8eac7642bd,bertimbau,olist
21.565945,-4.211917,1,positive,other,a6c58307ee35180cf0dc1d39466db359,bertimbau,olist
53.532673,8.696304,1,negative,delivery,f7eb8792e67d53e01a224bfa9b6802b2,bertimbau,olist
-49.91683,-20.920269,4,positive,delivery,4940d39efaa50e020312724f6a6e5efa,bertimbau,olist
-21.102816,-6.8973455,4,positive,delivery,7bd303edd3865abe8addb98d2a2e6577,bertimbau,olist
-4.9256573,-11.880842,4,positive,delivery,11caa17c5966423a2f73ded6a13ad638,bertimbau,olist
34.29548,-56.365494,6,negative,other,4dd68a0dee5ede8a445f797c46bca436,bertimbau,olist
58.435017,-2.4368174,1,negative,product,f55ac350831de6694d569e9c0176dacd,bertimbau,olist
-104.26576,22.57109,3,positive,delivery,3fb929ba2924ff0a47858efb007ceee1,bertimbau,olist
-27.93178,32.23991,3,positive,delivery,58b27f28e98acdaec89d736d8ed79dd5,bertimbau,olist
-28.775948,93.21665,0,negative,other,6280ca6a9e8c3a56b668ec8c5396caaf,bertimbau,olist
73.30618,-12.205327,6,neutral,product,968989a3b5192c9b9436fe7546acaca4,bertimbau,olist
-79.77281,40.344482,3,positive,delivery,dc92cf357f5eb4d61b6a95fed53d17e1,bertimbau,olist
-3.669501,-20.921078,5,positive,other,382d855ffdd4f5e66594dbfb1566e96f,bertimbau,olist
0.27096882,17.325296,4,positive,delivery,06aa3111724159bb69b8568181ec05c4,bertimbau,olist
28.191566,-34.74544,6,negative,product,3db041dd46e9935752c691a2093799c2,bertimbau,olist
-44.13611,-47.191074,4,positive,delivery,9ad64902b6c9bfad48bbe4d17e4dcb4b,bertimbau,olist
-95.416855,38.904243,0,positive,other,6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,bertimbau,olist
-41.294514,-38.146317,4,positive,delivery,8f9aa50ee40780ba3f79614530a34ebe,bertimbau,olist
60.028675,23.900133,1,negative,product,f3f77d01a24ce4da52b6f7e83e71498d,bertimbau,olist
-12.840704,53.73096,0,positive,other,2fe0ca8fe19ae1ab68408a1235bbd054,bertimbau,olist
53.431046,14.988242,1,negative,product,b396ba75350276a6cc1993b6627dceea,bertimbau,olist
-54.76667,-67.30426,5,positive,other,610a49f3e897c9295111d0a8c0d6e65b,bertimbau,olist
-6.4770093,38.209225,6,negative,product,f3401a1de0c152923ba58cf7b7d2b84a,bertimbau,olist
1.6489987,-65.74007,2,neutral,product,ef9ef383ff6625e8e118db388ad3420d,bertimbau,olist
-31.744513,-3.4437592,4,positive,delivery,5d6f9cddc8335878d8bf20c3bd4602e8,bertimbau,olist
62.30408,-36.83606,6,neutral,product,f4d74b17cd63ee35efa82cd2567de911,bertimbau,olist
-71.73768,-14.482413,4,positive,delivery,3a336941a21a96535c9b70e3d28be499,bertimbau,olist
20.285727,-9.873274,0,neutral,other,f677a419ee4910ae12bf8cb73dc0d332,bertimbau,olist
-32.763508,65.73329,3,positive,delivery,2e21bb397364fa799a4a1609fd2e6e3b,bertimbau,olist
-65.23539,25.699284,3,positive,delivery,670e12015ba4dca0bc1d220aaf5c19f9,bertimbau,olist
64.84164,-29.970291,1,negative,product,7cae6dc895e8f5238f2300e103742ce2,bertimbau,olist
15.936021,37.049988,0,positive,other,5e5ae81fbed794a34c7b44744b168a5f,bertimbau,olist
42.520237,-4.0320463,6,negative,delivery,af41ee42a3e2dc767023449fda6c12fa,bertimbau,olist
35.58195,-70.055954,6,positive,refund,d28138dcbee5d50ca9dddb812d21ce85,bertimbau,olist
-40.93408,52.11261,3,positive,delivery,cc4e1115d5c84efa5976f12404569949,bertimbau,olist
-19.826494,18.225882,4,positive,delivery,07b48dbc11677f5021dbefcaba550ed2,bertimbau,olist
23.7269,-53.63796,4,negative,product,4f2d420b33665f546c373953c8dfb5fd,bertimbau,olist
