x,y,cluster,sentiment,topic_proxy,review_id,model_key,dataset_key
-0.008784503,-0.004714519,5,positive,other,8ef36616bef00398b6e413c124f436c8,bertimbau,olist
0.3409866,0.12650123,1,neutral,support,57e994485c2ebd293e4fa9cd62e5bb96,bertimbau,olist
-0.25734165,-0.08090466,2,positive,product,59d95e0b5b52d038dc3a022b7c912969,bertimbau,olist
-0.13784114,-0.25242853,4,positive,delivery,a0adf7a439816b22050d6bf433cbbff6,bertimbau,olist
0.10207527,-0.03216988,1,negative,product,c40a6b6e0181e5ec0d12cbc2e12c49d3,bertimbau,olist
0.012043215,-0.15489268,4,positive,delivery,5241fcad10d7b45a1761f1e1e1536faa,bertimbau,olist
0.16226122,0.03127539,1,negative,other,06f47dacd0575e592bf6a17e922ce6cd,bertimbau,olist
-0.035846956,0.17875487,6,positive,product,d36219dfadc3a5b07ab66670d23915ad,bertimbau,olist
0.13913691,0.26247904,1,positive,other,5230dc021b8ce3fe53ed728af873a6d1,bertimbau,olist
0.11042497,0.23667964,6,neutral,other,4656b8ed41c17f6be05e911e211ecd8f,bertimbau,olist
-0.3058417,0.5491124,0,positive,other,8ef0597f9b1870cf46c81358425f0e24,bertimbau,olist
-0.124206655,0.18108286,6,neutral,product,6b341682ab39af9fa00d72d7388c903b,bertimbau,olist
-0.1828633,-0.17324519,3,neutral,delivery,e4f0765c572989acb3d2d17c911ccce4,bertimbau,olist
0.2019395,0.17411736,6,neutral,support,557ae9c16a8ea3909db2fc5a01bc5151,bertimbau,olist
-0.0038181543,-0.32304108,4,positive,product,5939898b5d2ac05454b2fe1aeecaad19,bertimbau,olist
0.25186318,-0.021529078,1,negative,product,cde97e23deec3aa11e838402378706ee,bertimbau,olist
0.40225863,-0.105055034,1,negative,product,3ff8285931cc9b54c9ad22ba78957f63,bertimbau,olist
0.17931241,0.08157629,1,neutral,delivery,fdb0e5a14fb6456e28ce7b3b054b8843,bertimbau,olist
-0.18419039,0.14418153,0,positive,other,deb6f26fd2c11c556bc9245fd9203469,bertimbau,olist
-0.14986113,-0.23827374,3,positive,delivery,6591adaa3a855d13090d5fd151ad96c2,bertimbau,olist
0.054992087,-0.054870725,4,positive,product,c4a20a1d2d634f814cca9311edd60e99,bertimbau,olist
0.20214531,0.2410996,6,positive,other,81e7291e2f92b492eb0340f4406c6897,bertimbau,olist
-0.43232888,0.07455143,2,positive,product,eb6d75bedecae7b3dbea11b8530637d8,bertimbau,olist
0.23382816,0.02409771,6,negative,delivery,a36150969fe6bd09ed011dd78aeb0189,bertimbau,olist
-0.2740167,-0.075258374,2,positive,product,2c303fb6b2f9c16f324f7deb88e736fe,bertimbau,olist
0.24825448,-0.07148278,1,negative,product,43992f6d75ecc01ddd8c748b9362bc81,bertimbau,olist
-0.0789476,0.15417996,0,negative,product,8b4c14417bccab81710772ecb8b23fd6,bertimbau,olist
-0.17754962,-0.16542056,2,positive,product,3528296df9092b7a7b88bd036e3f8a8e,bertimbau,olist
0.18757951,-0.044576973,1,negative,product,252b934455d29ca8cc070504686ecc52,bertimbau,olist
-0.22616765,0.10239494,3,negative,delivery,b736ff4204044e49e39062584d06fa74,bertimbau,olist
0.10039013,-0.016864419,5,positive,other,c7475b2c4448321756b6136327f1394e,bertimbau,olist
-0.19140068,-0.17113277,4,positive,product,44cdb9cb9c9f8d6bcea59e0b61b8df6a,bertimbau,olist
0.22904104,0.20224778,6,neutral,other,65b934c20d632fc2df0fd4723464fa78,bertimbau,olist
-0.21738812,0.07815501,5,positive,other,af9e54a155c1248534f1fa60179c6393,bertimbau,olist
0.086442,-0.012421042,6,positive,other,ea12cd666e65ef6cfc48e7ddd8596833,bertimbau,olist
-0.29544792,-0.034069657,3,positive,delivery,8023f946d9b261cb0ecb604703427917,bertimbau,olist
0.06920227,0.14387017,5,positive,other,4faa35770cc4dbf5f2725bcebdd1bdc6,bertimbau,olist
0.109500356,0.15955548,6,negative,product,c239d18d7e310e477d5e7b76b362db1d,bertimbau,olist
0.111390166,-0.1202158,1,negative,delivery,b3df5ccdfff218d039dd166e3da759f5,bertimbau,olist
0.0366045,-0.07979071,1,negative,delivery,c11da18223114c483b887b9914045f79,bertimbau,olist
0.30514538,-0.08782706,1,negative,product,6f885e2fd69412264d9e74e805175d53,bertimbau,olist
0.12254282,0.04496938,5,positive,other,b83ba2a97932a8a661f5bf8eac7642bd,bertimbau,olist
0.29082534,-0.057128936,1,positive,other,a6c58307ee35180cf0dc1d39466db359,bertimbau,olist
0.32996786,0.0141940415,1,negative,delivery,f7eb8792e67d53e01a224bfa9b6802b2,bertimbau,olist
-0.07661554,-0.31978744,4,positive,delivery,4940d39efaa50e020312724f6a6e5efa,bertimbau,olist
-0.014397025,-0.32545483,4,positive,delivery,7bd303edd3865abe8addb98d2a2e6577,bertimbau,olist
-0.06948318,0.020650744,4,positive,delivery,11caa17c5966423a2f73ded6a13ad638,bertimbau,olist
0.18344179,0.08116996,6,negative,other,4dd68a0dee5ede8a445f797c46bca436,bertimbau,olist
0.2474181,0.011048615,1,negative,product,f55ac350831de6694d569e9c0176dacd,bertimbau,olist
-0.25584638,-0.13527235,3,positive,delivery,3fb929ba2924ff0a47858efb007ceee1,bertimbau,olist
0.0045364276,-0.23619288,3,positive,delivery,58b27f28e98acdaec89d736d8ed79dd5,bertimbau,olist
-0.26826993,0.29783276,0,negative,other,6280ca6a9e8c3a56b668ec8c5396caaf,bertimbau,olist
0.28194243,0.1364006,6,neutral,product,968989a3b5192c9b9436fe7546acaca4,bertimbau,olist
-0.27072448,-0.23010224,3,positive,delivery,dc92cf357f5eb4d61b6a95fed53d17e1,bertimbau,olist
0.24721202,-0.10614544,5,positive,other,382d855ffdd4f5e66594dbfb1566e96f,bertimbau,olist
