cluster_id,size,topic_name,example_reviews,negative_ratio,topic_name_keyword,model_key
2,7639,não | recebi | produto | não recebi | ainda,"['comprei o produto e não foi entregue entrei em contato no sac stark falaram q deu problema na entrega que ia chegar até porém até agora não chegou tem mais de q comprei o produto', 'não recebí o produto e mesmo tendo comunicado ao baratheon o que ocorreu me recomendaram aguardar dias que a loja me contataria e isso não aconteceu exijo uma solução imediata', 'não recebi o produto ainda já passou do prazo estipulado pela loja só me informaram que o produto não chegou em porto alegre que houve um imprevisto', 'não entregaram meu produtoe já passou o prazo', 'até a presente data não recebi o produto comprado solicito providências']",0.7520617881921717,não | recebi | produto | não recebi | ainda,multilingual_minilm
3,6392,não | de | produto | veio | que,"['recebi o produto porem faltam partes do mesmo', 'produto entregue corretamente porém achei que demorou', 'achei o produto mal acabado', 'o produto não é tão bom achei meio ralezinho', 'não foi especificado que que produto era a pilhas']",0.5183041301627034,não | de | produto | veio | que,multilingual_minilm
5,4999,muito | recomendo | gostei | tudo | bom,"['gostei muito está aprovado', 'super recomendo amei', 'tudo certinho entregue no prazo amei', 'super recomendo chegou no prazo tudo correto amei', 'eu recomendo gostei']",0.04120824164832967,muito | recomendo | gostei | tudo | bom,multilingual_minilm
6,4856,produto | prazo | do prazo | do | antes,"['satisfeita com o produto entregue bem antes do prazo esperado', 'produto entregue bem antes do prazo muito bom', 'o produto foi entregue antes do prazo foi excelente', 'produto entregue antes do prazo excelente', 'produto entregue antes do prazo excelente']",0.060955518945634266,produto | prazo | do prazo | do | antes,multilingual_minilm
1,4829,produto | qualidade | bom | muito | ótimo,"['muito bom produto entregue certinho qualidade excelente', 'produto de ótima qualidade indico', 'ótimo produto e de boa qualidade', 'produto de ótima qualidade bem satisfeito', 'ótimo produto excelente a qualidade']",0.01490991923793746,produto | qualidade | bom | muito | ótimo,multilingual_minilm
0,4207,prazo | antes | do prazo | entrega | antes do,"['entregue antes do prazo muito bem', 'entregue antes do prazo excelente', 'entregue muito antes do prazo excelente', 'foi entregue antes do prazo muito bom', 'entregue antes do prazo muito bom']",0.15212740670311387,prazo | antes | do prazo | entrega | antes do,multilingual_minilm
4,3645,loja | compra | recomendo | muito | comprar,"['foi muito bom comprar esse produto pelas lojas lannister recebi antes do prazo amei', 'recebi no prazo loja confiável os produtos que comprei são maravilhosos amei minha compra', 'boa loja produto entregue no prazo', 'satisfeita com a compra entrega rápida super indico essa loja', 'ótima compra dentro do prazo e atendida com atenção obrigada']",0.08367626886145405,loja | compra | recomendo | muito | comprar,multilingual_minilm
