model_key,rq_signal,cluster_negative_ratio_std,negative_homophily_k20,negative_homophily_excess_k20,negative_island_count,negative_island_mass,kmeans_purity_topic_proxy,kmeans_purity_sentiment,topic_dispersion_mean,sentiment_dispersion_mean
bertimbau,islands,0.2555370476125052,0.7252670889666257,0.4360172188651681,1,0.2344463587387535,0.5953181830612301,0.7561189050236552,0.3173000791977016,0.3763501664004147
multilingual_minilm,diffuse,0.286821550148957,0.7031010683558665,0.4138511982544089,0,0.0,0.5625837503760222,0.791724779172478,0.4984759023001182,0.647221859214412
openclip_text,islands,0.1825645788725065,0.595305852321074,0.3060559822196164,1,0.1435447261191784,0.5130855689556157,0.6680887138676949,0.0470848832128084,0.0547934024512188
