model_key,n_clusters,global_negative_ratio,cluster_negative_ratio_std,negative_homophily_k20,negative_homophily_excess_k20,negative_island_count,negative_island_mass,topic_dispersion_mean,sentiment_dispersion_mean,kmeans_purity_topic_proxy,kmeans_purity_sentiment,rq_signal
bertimbau,7,0.2892498701014576,0.2555370476125052,0.7252670889666257,0.4360172188651681,1,0.2344463587387535,0.3173000791977016,0.3763501664004147,0.5953181830612301,0.7561189050236552,islands
multilingual_minilm,7,0.2892498701014576,0.286821550148957,0.7031010683558665,0.4138511982544089,0,0.0,0.4984759023001182,0.647221859214412,0.5625837503760222,0.791724779172478,diffuse
openclip_text,7,0.2892498701014576,0.1825645788725065,0.595305852321074,0.3060559822196164,1,0.1435447261191784,0.0470848832128084,0.0547934024512188,0.5130855689556157,0.6680887138676949,islands
